ANAT321-201609,ANAT321,ANAT,321,201609,F2016,3,A-,3.7,1,001
ANAT321-201709,ANAT321,ANAT,321,201709,F2017,3,A-,3.7,1,001
ANAT321-201809,ANAT321,ANAT,321,201809,F2018,3,A,4.0,1,001
ANAT322-201501,ANAT322,ANAT,322,201501,W2015,3,B+,3.3,1,001
ANAT322-201701,ANAT322,ANAT,322,201701,W2017,3,B+,3.3,1,001
ANAT322-201801,ANAT322,ANAT,322,201801,W2018,3,B+,3.3,1,001
ANAT323-201509,ANAT323,ANAT,323,201509,F2015,3,B+,3.3,1,001
ANAT365-201409,ANAT365,ANAT,365,201409,F2014,3,B-,2.7,1,001
ANAT365-201709,ANAT365,ANAT,365,201709,F2017,3,B+,3.3,1,001
ANAT365-201809,ANAT365,ANAT,365,201809,F2018,3,B,3.0,1,001
ANAT381-201809,ANAT381,ANAT,381,201809,F2018,3,B+,3.3,1,001
ANAT416-201601,ANAT416,ANAT,416,201601,W2016,3,A-,3.7,1,001
ANSC234-201701,ANSC234,ANSC,234,201701,W2017,3,B,3.0,1,001
ANSC234-201801,ANSC234,ANSC,234,201801,W2018,3,B,3.0,1,001
ANSC250-201609,ANSC250,ANSC,250,201609,F2016,3,B+,3.3,1,001
ANSC250-201709,ANSC250,ANSC,250,201709,F2017,3,B+,3.3,1,001
ANSC250-201809,ANSC250,ANSC,250,201809,F2018,3,A-,3.7,1,001
ANSC312-201701,ANSC312,ANSC,312,201701,W2017,3,B+,3.3,1,001
ANSC323-201609,ANSC323,ANSC,323,201609,F2016,3,B+,3.3,1,001
ANSC323-201709,ANSC323,ANSC,323,201709,F2017,3,B+,3.3,1,001
ANSC350-201701,ANSC350,ANSC,350,201701,W2017,3,A-,3.7,1,001
ANSC350-201801,ANSC350,ANSC,350,201801,W2018,3,A-,3.7,1,001
ANSC400-201801,ANSC400,ANSC,400,201801,W2018,3,B+,3.3,1,001
ANSC420-201709,ANSC420,ANSC,420,201709,F2017,3,A-,3.7,1,001
ANSC424-201701,ANSC424,ANSC,424,201701,W2017,3,B+,3.3,1,001
ANSC424-201801,ANSC424,ANSC,424,201801,W2018,3,B+,3.3,1,001
ANSC560-201809,ANSC560,ANSC,560,201809,F2018,3,A-,3.7,1,001
ANTH201-201509,ANTH201,ANTH,201,201509,F2015,3,B+,3.3,1,001
ANTH201-201701,ANTH201,ANTH,201,201701,W2017,3,B+,3.3,1,001
ANTH201-201801,ANTH201,ANTH,201,201801,W2018,3,B+,3.3,1,001
ANTH201-201805,ANTH201,ANTH,201,201805,S2018,3,A-,3.7,1,001
ANTH202-201309,ANTH202,ANTH,202,201309,F2013,3,B+,3.3,1,001
ANTH202-201409,ANTH202,ANTH,202,201409,F2014,3,B+,3.3,1,001
ANTH202-201509,ANTH202,ANTH,202,201509,F2015,3,B+,3.3,1,001
ANTH202-201609,ANTH202,ANTH,202,201609,F2016,3,B+,3.3,1,001
ANTH202-201705,ANTH202,ANTH,202,201705,S2017,3,B+,3.3,1,001
ANTH202-201709,ANTH202,ANTH,202,201709,F2017,3,B+,3.3,1,001
ANTH202-201809,ANTH202,ANTH,202,201809,F2018,3,B+,3.3,1,001
ANTH203-201601,ANTH203,ANTH,203,201601,W2016,3,B,3.0,1,001
ANTH203-201609,ANTH203,ANTH,203,201609,F2016,3,B+,3.3,1,001
ANTH203-201709,ANTH203,ANTH,203,201709,F2017,3,B,3.0,1,002
ANTH204-201701,ANTH204,ANTH,204,201701,W2017,3,B,3.0,1,001
ANTH204-201801,ANTH204,ANTH,204,201801,W2018,3,A-,3.7,1,001
ANTH206-201509,ANTH206,ANTH,206,201509,F2015,3,B,3.0,1,001
ANTH206-201609,ANTH206,ANTH,206,201609,F2016,3,B,3.0,1,001
ANTH206-201709,ANTH206,ANTH,206,201709,F2017,3,B,3.0,1,001
ANTH206-201809,ANTH206,ANTH,206,201809,F2018,3,B+,3.3,1,001
ANTH209-201601,ANTH209,ANTH,209,201601,W2016,3,B-,2.7,1,001
ANTH209-201701,ANTH209,ANTH,209,201701,W2017,3,B,3.0,1,001
ANTH209-201801,ANTH209,ANTH,209,201801,W2018,3,B,3.0,1,001
ANTH210-201301,ANTH210,ANTH,210,201301,W2013,3,B,3.0,1,001
ANTH210-201501,ANTH210,ANTH,210,201501,W2015,3,B,3.0,1,001
ANTH210-201601,ANTH210,ANTH,210,201601,W2016,3,B,3.0,1,001
ANTH210-201609,ANTH210,ANTH,210,201609,F2016,3,B+,3.3,1,001
ANTH210-201709,ANTH210,ANTH,210,201709,F2017,3,B+,3.3,1,001
ANTH210-201809,ANTH210,ANTH,210,201809,F2018,3,B+,3.3,1,001
ANTH212-201601,ANTH212,ANTH,212,201601,W2016,3,B+,3.3,1,001
ANTH212-201605,ANTH212,ANTH,212,201605,S2016,3,B,3.0,1,001
ANTH212-201801,ANTH212,ANTH,212,201801,W2018,3,B+,3.3,1,001
ANTH212-201805,ANTH212,ANTH,212,201805,S2018,3,A-,3.7,1,001
ANTH222-201501,ANTH222,ANTH,222,201501,W2015,3,B,3.0,1,001
ANTH222-201601,ANTH222,ANTH,222,201601,W2016,3,B,3.0,1,001
ANTH222-201701,ANTH222,ANTH,222,201701,W2017,3,B,3.0,1,001
ANTH222-201801,ANTH222,ANTH,222,201801,W2018,3,B,3.0,1,001
ANTH222-201809,ANTH222,ANTH,222,201809,F2018,3,A-,3.7,1,001
